site_id,closest_gage,gage_riv_dist_m
513PS0372,11451000,19718.582679206564
513PS0584,11449500,7997.071369678227
513PS0984,11451100,2667.0197714548676
513PS1032,11448500,6322.774945626545
513PS1204,11451720,11046.078061213213
513RCCACC,11451500,13485.449281797659
513SHDY01,11451000,5275.276581400246
513ST0097,11451715,8035.236861239611
513ST0098,11451715,61.16498610057431
513ST0099,11451720,0
513ST0191,11451000,96.29309344310485
513ST0192,11451720,7222.922647086273
513ST0195,11451500,783.8241246147727
513ST0279,11451000,8705.25962420359
513ST0281,11451500,49016.878625202626
513ST0282,11449100,22979.1660581324
513ST0283,11449100,26794.40916945415
513ST0360,11451720,21821.662927717825
513ST0361,11451720,20362.724795793296
513ST0362,11451720,11263.157701045207
513ST0363,11451720,23977.038775901932
513ST0610,11451300,5149.910908965036
513ST0611,11451300,279.99511473267427
513ST0904,11449100,20553.885559889364
513STCAIV,11451100,13875.572931475886
513TB0186,11449100,10523.588397993128
513UNCAKC,11451100,13807.63993076067
513UPCSSG,11451000,13638.850974067456
513XMDLCR,11449100,20815.5733521229
513XMGSLU,11448500,23836.10131251187
514441500,11441500,0
514441800,11441800,0
514443500,11443500,0
514ALCANC,11440000,10960.58008432606
514AMR805,11445500,6082.119335324235
514AMR806,11439500,303.8503938939257
514AMR807,11439500,6296.9681674731155
514AMR808,11445500,13711.623467171949
514AMR809,11445500,4368.185518731372
514AMR810,11445500,3937.904222295973
514AMR811,11445500,4206.667674626094
514ARSFCL,11444500,9650.456677211172
514BMCARC,11444201,13283.380252832827
514BRU001,11442700,154.7926097603819
514BRU002,11442700,378.4123552995501
514BRU003,11442700,707.3478522182667
514BRU004,11442700,1085.166583639062
514BRU005,11442700,1570.8515817867203
514BRUUPX,11442700,879.5677628249167
514ELD006,11439500,1843.7996820928602
514ELD020,11440000,12624.660322230226
514FINONR,11444201,5283.37091397115
514GWCH49,11445500,1016.3737158469737
514ICE001,11441500,232.04297781841962
514ICE002,11441500,326.851822318172
514ICE003,11441500,961.3690944133562
514ICE004,11441500,1657.661994161999
514ICE005,11441500,2304.292171271777
514ICEUPx,11441500,6026.206987165358
514LNCASC,11435100,109098.58486815641
514LSAC09,11446500,5398.811826337356
514LSAC10,11446500,3161.8864633566504
514LSAC11,11445500,11900.73539018899
514LSAC12,11444201,6149.443376561485
514LSAC15,11445500,14034.289779117384
514LSAC16,11435100,6664.557876528082
514LSAC17,11444500,52925.45439346704
514MLE046,11436000,14352.301907512772
514PCP024,11436000,21277.535942212162
514PIC204,11441500,3596.357521876912
514PS0019,11441002,9254.852838255292
514PS0084,11447293,10367.718461933344
514PS0131,11436000,12395.61453774231
514PS0162,11435100,5857.626995051214
514PS0275,11441500,39213.696540252255
514PS0735,11445500,18045.72372352996
514PS0799,11445500,8314.202221677635
514PSL120,11436000,1476.3029424144208
514PUV156,11441002,3810.1658147718413
514SAC009,11447360,16856.521461517485
514SAC010,11447360,17949.667117066245
514SAC011,11447360,22253.388653669608
514SAC012,11446500,11469.125677303486
514SBCAMR,11435100,10426.910685271649
514SCCAAR,11435100,5279.173032593787
514SED101,11441002,7377.00363395641
514SED103,11441500,12842.130201071786
514SFA222,11436000,8511.633027140566
514SFA334,11439500,2877.6249884935105
514SFARKB,11439500,5967.640191047171
514SL0371,11436000,1476.3029424144208
514SLABCR,11443500,3258.6952143902395
514SSC126,11441900,5411.747033744126
514SSC190,11441800,7447.937943887778
514ST0048,11443500,0
514ST0049,11444500,9650.456677211172
